Year,Country,HDI,LifeExp,ExRate,TradeIM,TradeEX,Pop,AgeDib,LitRate,Gini,ExpImp
2000,Malaysia,0.724,0.809,3.8,10937.4,25568.3,23194257,62.7287479,88.6877594,,220.4
2001,Malaysia,0.722,0.812,3.8,9357.7,22340.3,23709119,63.04743757,,,
2002,Malaysia,0.724,0.815,3.8,10343.6,24008.9,24208391,63.48923809,,,
2003,Malaysia,0.731,0.818,3.8,10914.06171,25440.20286,24698819,64.02653099,,,
2004,Malaysia,0.734,0.821,3.8,10850.17691,28178.86618,25190652,64.59519587,,,
2005,Malaysia,0.732,0.824,3.787091667,10460.83317,33685.15957,25690611,65.13201263,,,203.9
2006,Malaysia,0.738,0.827,3.668176958,12443.99949,36533.14083,26201961,65.43778155,,,
2007,Malaysia,0.751,0.83,3.437569382,11680.2016,32628.50545,26720370,65.76803016,,,
2008,Malaysia,0.762,0.833,3.335833333,12949.45414,30736.07526,27236006,66.15116769,,,
2009,Malaysia,0.766,0.835,3.524502911,10403.28411,23282.61876,27735040,66.60283165,,,
2010,Malaysia,0.773,0.838,3.221086915,14079.48448,25900.94959,28208035,67.10071793,93.1178894,41,157.9
2011,Malaysia,0.779,0.841,3.060003011,14264.01983,25776.85122,28650955,67.5868546,,41,154.9
2012,Malaysia,0.782,0.844,3.088800867,12817.72318,25934.75536,29068159,67.99096772,,41,147.8
2013,Malaysia,0.787,0.847,3.15090855,13015.88759,27288.73502,29468872,68.34002043,,41,142.7
2014,Malaysia,0.792,0.85,3.272859746,13068.98601,30563.78782,29866559,68.65432939,,41,138.3
2015,Malaysia,0.797,0.853,3.905500263,12277.70564,33971.86742,30270962,68.93482936,,41,133.5
2016,Malaysia,0.801,0.856,4.148300663,11774.17855,36607.39763,30684804,69.08061926,94.88057709,41,128.8
2017,Malaysia,0.802,0.859,4.300440878,12871.80262,37369.17317,31105028,69.22225702,95.08264923,41,135.8
2018,Malaysia,0.804,0.862,4.035130137,12951.98432,39353.57864,31528585,69.33310429,94.85440826,,132.3
1998,Pakistan,0.44,0.651,45.04666667,720.4,1691.8,134843233,53.40412818,42.6993103,,
1999,Pakistan,0.445,0.655,49.50069158,496.7,1740.7,138624621,53.69255221,,,
2000,Pakistan,0.449,0.659,53.6481865,462.3,2166.8,142343578,54.04005511,,,28.1
2001,Pakistan,0.456,0.663,61.92716167,541.5,2249.5,145978402,54.32719561,,,
2002,Pakistan,0.464,0.666,59.72378167,693.5,2305,149549700,54.67243665,,,
2003,Pakistan,0.472,0.67,57.75199667,843.218928,2531.157242,153093373,55.06483746,,,
2004,Pakistan,0.486,0.673,58.25786333,1680.083316,2874.98797,156664697,55.48707505,,,
2005,Pakistan,0.499,0.676,59.514475,1251.63194,3253.181975,160304008,55.92562789,49.87363815,,35.3
2006,Pakistan,0.503,0.68,60.271335,1722.633113,3672.222686,164022627,56.33343807,54.15121078,,
2007,Pakistan,0.511,0.683,60.73851583,1943.577099,3577.641329,167808105,56.75640101,52.13682938,,
2008,Pakistan,0.513,0.687,70.40803333,1897.845402,3591.062421,171648986,57.18956184,55.526371,,
2009,Pakistan,0.52,0.692,81.71289167,1617.950218,3162.815294,175525609,57.62852303,54.89263916,,
2010,Pakistan,0.524,0.696,85.19381633,1901.071676,3509.06732,179424641,58.06729857,55.37519073,33.5,32.9
2011,Pakistan,0.528,0.701,86.34338333,1988.78584,3832.115894,183340592,58.41698939,54.73802185,33.5,32.9
2012,Pakistan,0.533,0.705,93.39519722,1530.065196,3627.553133,187281475,58.7679796,56.76433945,33.5,32.8
2013,Pakistan,0.537,0.71,101.6288992,1645.795477,3688.503361,191262919,59.11313372,55.59498978,33.5,33.3
2014,Pakistan,0.546,0.713,101.1000884,1512.816427,3675.599106,195306825,59.44363036,56.97714996,33.5,30.9
2015,Pakistan,0.55,0.717,102.7692716,1837.956984,3701.030295,199426964,59.75335662,,33.5,27.7
2016,Pakistan,0.556,0.72,104.769117,2107.77153,3442.808763,203627284,59.98627382,,33.5,25.3
2017,Pakistan,0.558,0.722,105.4551621,2808.080622,3573.509279,207896686,60.20754291,59.13204956,33.5,25.8
2018,Pakistan,0.56,0.725,121.8240689,2852.14842,3709.705133,212215030,60.41741109,,,28
1998,Philippines,0.623,0.749,40.89305,6736.5,11947.3,74672014,57.78707,,,
